key,description,en,ru
lifeSpheres,,Life spheres,Сферы жизни
focus,,Focus,Фокус
melodies,,Melodies,Мелодии
programs,,Programs,Программы
custom,,Custom,Ввод
templates,,Templates,Шаблоны
buildHabit,,Build,Привить
breakHabit,,Break,Избавиться
general,,General,Общее
plan,,Plan,План
diary,,Diary,Дневник
onboardingCustomGoal,,With {appName} it's easy to customize any goal to fit your needs.,С {appName} вы легко можете отредактировать любую готовую цель по своему желанию.
onboardingCustomHabit,,With {appName} it's easy to customize any habit to fit your needs.,С {appName} вы легко можете отредактировать любой шаблон привычки по своему желанию.
acceptedGoalHeader,,Go for it!,Удачи!
acceptedHeader,,Way to go!,Вперед!
completedGoalSubheader,,You achieved the goal!,Вы достигли цели!
completedHabitHeader,,You've conquered the habit,Вы развили привычку!
inProgressAchievementTitle,,You rock! 👏,Это победа! 👏
initialAchievementSubtitle,,You've almost mastered that.,Вы на верном пути.
inProgressAchievementSubtitle,,You've almost mastered that.,Вы на верном пути.
completedAchievementSubtitle,,on your new achievement!,с вашим новым достижением!
notesPlaceholder,,"The place for a daily journal, gratitudes, ideas, and insights.","Скоро здесь появится место, где будет удобно хранить записи, дневник, благодарности, инсайты и идеи."
acceptedDialogConfirmButton,,Great,Отлично
timerCompleted,,Well done for staying focused! Time for a break.,Вы отлично поработали! Время сделать перерыв.
breakCompleted,,Time to focus on getting things done!,Время сфокусироваться и поработать над задачей!
unguidedMeditationCompleted,,Unguided is completed.,"Отлично, сегодняшняя медитация выполнена."
soundCompleted,,The session is ended.,"Время, которое вы задали, истекло."
quitCurrentFocusDialog,,Are you sure you want to end focus in advance?,Вы точно хотите прервать фокус?
endFocusDialog,,Are you sure you want to end the current focus?,"Вы уверены, что хотите выйти из фокус таймера?"
endMeditationDialog,,Are you sure you want to end the current meditation?,"Вы уверены, что хотите прервать текущую медитацию?"
updateGoalEntitiesDialog,,You're changing the starting date. Do you want to update related tasks and habits accordingly?,Вы меняете дату начала цели. Хотите подстроить под новую дату сроки всех привязанных к цели задач и привычек?
updateGoalTargetDateAndEntitiesDialogTitle,,You're changing the starting date,Вы меняете дату начала цели
updateGoalTargetDateAndEntitiesDialog,,Do you want to update the goal's target date and starting dates of related tasks and habits accordingly?,Вы хотите обновить дату достижения цели и даты всех привязанных к ней задач и привычек соответственно?
confirmGoalEditDialogTitle,,Are you sure you want to edit these attributes?,"Вы уверены, что хотите изменить эти параметры?"
confirmGoalEditDialog,,Changing these attributes will affect the process of achieving the goal.,Изменения этих параметров повлияют на весь процесс достижения цели.
migrationFailureTitle,,Sync is failed,Ошибка в синхронизации
migrationFailureMessage,,"The update to the latest version went unsuccessful. Please check your internet connection and restart the app. If the error occurs again, contact the support team.","Обновление до последней версии удалось. Пожалуйста, проверьте интернет-соединение и перезагрузите приложение. Если ошибка будет повторяться, напишите нам в поддержку и мы поможем."
breakAdvice1,,Do 5-minute full-body stretching that your body needs,"Сделайте 5-минутную растяжку, чтобы взбодрить тело."
breakAdvice2,,Get up and walk around to feel more energized,"Встаньте и пройдитесь немного, чтобы зарядиться энергией."
breakAdvice3,,Do a short {appName} breathing exercise to boost energy,"Сделайте дыхательную практику в {appName}, чтобы почувствовать прилив сил."
breakAdvice4,,Do a quick 5-minute clean-up to enjoy the space around you.,"Сделайте небольшую уборку, чтобы пространство вокруг радовало и вдохновляло вас."
breakAdvice5,,Treat yourself with a healthy snack like fruit or veggie sticks.,"Побалуйте себя полезным снэком, например, фруктом или орешками."
breakAdvice6,,Go outside or step out to the balcony to soak in the sun and get a new perspective.,"Выйдите на улицу или на балкон, чтобы освежиться и побыть на солнце."
breakAdvice7,,Open a window to get some fresh air and clear your mind.,"Откройте окно, чтобы проветрить комнату и голову."
breakAdvice8,,Listen to a motivational or cheerful song.,Потанцуйте под мотивирующую и веселую песню или просто послушайте ее.
breakAdvice9,,Do some food preparation for dinner – you’ll be surprised how much you can do in a few 5 min chunks of time.,"Если вы работаете из дома, сделайте заготовки для ужина, вы удивитесь, сколько всего можно успеть за несколько 5-минутных перерывов."
breakAdvice10,,Declutter your workspace to reduce stress and create a sense of calm.,Разберите хлам на рабочем месте - это уменьшит стресс и вернет чувство покоя и порядка.
breakAdvice11,,Take out the trash to make your place fresher.,"Вынесите мусор и насладитесь тем, что ваш дом или офис стал чище."
breakAdvice12,,Change that lightbulb that's needed changing (or any other small task that needs doing).,"Поменяйте уже эту лампочку, которая давно перегорела или сделайте другую мелкую работу по дому, которую давно откладывали."
breakAdvice13,,Meditate to improve your concentration for the next focus sessions.,"Помедитируйте, чтобы повысить концентрацию и лучше поработать во время следующих отрезков фокус-таймера."
breakAdvice14,,Fold laundry or throw a load of laundry into the washer.,Загрузите стиральную машинку.
breakAdvice15,,"Clean your phone, keyboard, and glasses.","Протрите влажной или спиртовой салфеткой свой телефон, клавиатуру, очки."
breakAdvice16,,Make a cup of warm tea or coffee.,Сделайте себе чашку горячего кофе или чая.
breakAdvice17,,Review your progress over the last 25 minutes.,"Оцените, сколько всего вы успели сделать за предыдущие 25 минут и похвалите себя."
breakAdvice18,,Plan what you are going to do in the next 25 minutes.,"Запланируйте, чем вы будете заниматься следующие 25 минут."
breakAdvice19,,Complete a short habit from your tracking list.,Выполните какую-то короткую привычку из вашего трекера привычек.
breakAdvice20,,"Do 30 seconds of as many press-ups, burpees, and sit-ups as you can.","Сделайте по 30 секунд отжимания, приседания и берпи."
breakAdvice21,,"Do a plank pose, if you can stay in this pose only for a short time, make two trips.","Сделайте планку, а если пока не получается долго в ней стоять, сделайте несколько подходов."
breakAdvice22,,Call a friend to share something good and positive.,Позвоните другу и поговорите о чем-то хорошем.
breakAdvice23,,Read an article you tend to put off.,"Прочитайте интересную или полезную статью, которая давно лежит в открытых вкладках."
breakAdvice24,,Watch a motivational TED video to feel more inspired.,"Посмотрите ролик TED, чтобы узнать что-то новое и вдохновиться."
breakAdvice25,,Have a glass of water. Hydration improves your brain function and boosts skin health.,Выпейте стакан воды - это поможет мозгу лучше работать и хорошо скажется на состоянии кожи.
breakAdvice26,,"Make some easy office exercises, it will boost your energy.","Сделайте несколько несложных физических упражнений, чтобы повысить энергию."
breakAdvice27,,"Close the eyes. Slowly move the eyes upward, then downward. Repeat 3 times. Slowly move the eyes to the left, then to the right. Repeat 3 times.","Закройте глаза. Медленно посмотрите вверх, затем вниз. Повторите 3 раза. Медленно посмотрите влево, затем вправо 3 раза."
breakAdvice28,,"Palms for relaxation. Gently cup your palms over your closed eyes until all the afterimages fade to black, about 30 sec.",Мягко положите ладони на глаза и окажите на них небольшое давление в течение 30 секунд. Это поможет глазам расслабиться и отдохнуть.
breakAdvice29,,Imagine a big number 8 turned on its side about 10 feet in front of you. Slowly sketch it with your eyes several times. Then go the other direction.,"Сделайте упражнение для глаз - представьте, что перед вам огромная трехметровая цифра 8. Медленно очертите ее глазами несколько раз сначала в одном направлении, затем в другом."
breakAdvice30,,Roll your eyes. Look right and left several times without moving your head. Then look up and down several times.,"Посмотрите вправо, затем влево несколько раз, не поворачивая головы. Затем посмотрите вверх и вниз. Это хорошая разминка для глаз."
connectWithSubtitle,,"Sign in to track your progress, use the app on multiple devices, and keep your information safe.","Зарегистрируйтесь, чтобы отслеживать свой прогресс, использовать приложение на разных устройствах и не потерять ваши данные."
signUpSubtitle,,To use {appName} on multiple devices and keep your information safe.,Чтобы использовать {appName} на разных устройствах и не потерять ваши данные.
signInSubtitle,,Please enter your email and password to get in,"Введите логин и пароль, чтобы зайти в ваш аккаунт."
emptyFields,,Please fill out all required fields and try again,"Пожалуйста, введите все требуемые поля и попробуйте еще раз."
noInternetConnection,,No internet connection. Please enable wifi or mobile internet and try again.,"Интернет-соединение не доступно. Пожалуйста, подключитесь к wifi или мобильному интернету и попробуйте зайти еще раз."
emptyTasksCalendarDay,,Press add to plan something great for this day.,"Нажмите ""Добавить"", чтобы запланировать задачу на этот день."
emptyGoalsCalendarDay,,Press add to plan something great for this day.,"Нажмите ""Добавить"", чтобы запланировать цель на этот день."
emptyNotesCalendarDay,,Press add to plan something great for this day.,"Нажмите ""Добавить"", чтобы запланировать заметку на этот день."
myDayEmptyToday,,"What do you get to do today?
Press + to add a note, task, habit, or goal.","Что бы вы хотели сегодня сделать? 
Нажмите +, чтобы добавить заметку, задачу, привычку или цель."
myDayEmptyPast,,Make a to-do list to keep track of your progress and achieve more.,"Ведите список дел, чтобы успевать делать больше и снижать прокрастинацию."
myDayEmptyFuture,,"Plan something great for this day.
Press + to add a note, task, habit, or goal.","Запланируйте что-то классное 
на этот день. 
Нажмите +, чтобы добавить заметку, задачу, привычку или цель."
myDayAllCompletedToday,,"You're doing an awesome job!
Want to schedule anything else?","У вас отлично получается! 
Хотите запланировать что-то еще?"
myDayAllCompletedPast,,"You've completed all tasks.
Keep up the good work!","Вы выполнили все задачи на этот день! 
Продолжайте в том же духе."
myDayAllCompletedFuture,,"Great job!
Want to schedule anything else?","Отличная работа! 
Хотите запланировать что-то еще?"
emptyTasks,,Jot down your tasks and focus on getting them done!,"Записывайте свои задачи, чтобы не держать их в голове."
emptyGoals,,Set a goal or project. Any ambitious dream is achievable with a solid plan.,"Поставьте цель или запланируйте проект. Любая мечта становится реальной, если у вас есть четкий план."
emptyHabits,,What you do every day has the most impact on your life.,"Привычки - то, что мы делаем каждый день, оказывают самое большое влияние на нашу жизнь."
emptySphere,,"Tie tasks, habits, and goals to spheres to visualize your life balance.","Привязывайте задачи, привычки и цели к сферам жизни, чтобы визуализировать, куда уходит ваше время на колесе баланса."
emptyDone,,"Track your progress. All completed tasks, habits and goals in one place.","Отслеживайте свой прогресс по всем выполненным задачам, привычкам и целям в одном месте."
emptyPlan,,Break down your goal into actionable steps.,Разбейте вашу цель на понятные шаги.
emptyCourses,,Educational courses on soft skills will be added soon.,Скоро здесь появятся образовательные курсы по софт скиллам.
emptyAchievements,,Achievements keep you motivated by tracking progress.,Полученные достижения повышают мотивацию и уверенность в своих силах.
emptyTips,,We will add tips on improving your productivity and wellbeing soon.,Скоро здесь появятся советы по улучшению вашей продуктивности и самочувствия.
communityTabPlaceholder,,We're working on building a community for you.,Мы работаем над созданием сообщества для вас.
emptyStatisticsLifeSpheres,,Track balance in a life spheres wheel and notice spheres which require more attention.,"Отслеживайте прогресс на колесе баланса, чтобы вовремя увидеть, какие сферы жизни требуют заботы и внимания."
emptyStatisticsGoals,,Take a look at the progress towards your goals.,Следите за своим прогрессом на пути к целям.
emptyStatisticsHabits,,Keep tracking your consistency in building habits.,Постоянство - ключевой фактор выработки привычек.
emptyStatisticsTasks,,See how well you getting tasks done.,"Отмечайте, насколько хорошо вы справляетесь с выполнением задач."
emptyStatisticsFocus,,Notice how much time you concentrated on tasks.,"Отмечайте, как много времени вы сосредоточенно работаете над задачами."
emptyStatisticsMeditation,,Every mindful minute counts and contributes to your well-being.,Каждая осознанная минута делает ваше состояние лучше.
deleteGoalWarning,,All tasks and habits attached to the goal will be deleted.,"Все задачи и привычки, привязанные к этой цели, будут удалены."
completeGoalWarning,,All tasks attached to this goal will be completed. The habits will remain tracked.,"Все задачи, привязанные к этой цели, будут выполнены. Все привычки останутся в трекере."
deleteHabitWarning,,The tracking will be stopped and your activity history for the whole period will be deleted.,"Трекинг привычек прекратится, а прогресс и история за весь период будут удалены."
completeHabitWarning,,The tracking will be stopped and your activity history will be saved.,"Трекинг привычек прекратится, а прогресс и история будут сохранены."
deleteTaskWarning,,All recurring tasks will be deleted.,Все повторяющиеся задачи будут удалены.
completeTaskWarning,,All recurring tasks will be completed.,Все повторяющиеся задачи будут выполнены.
cancelSingleMeditationWarning,,The meditation will be deleted from your calendar. You can add it again later.,Медитация будет удалена из календаря. Вы сможете добавить ее снова.
cancelRecurringMeditationWarning,,Do you want to save the history of completed sessions in your progress?,Вы хотите сохранить историю и прогресс выполненных сессий?
buildHabitProgress0,,Use a scientific approach for habit formation to rewire your brain.,"Используйте научный подход к формированию привычек, чтобы перепрограммировать свой мозг."
buildHabitProgress25,,"Create context for your habit - specify time, place, and routine.","Задайте понятный контекст привычке - определите время, место и рутину ее выполнения."
buildHabitProgress50,,Use reminders as cues that initiate the behavior and set other details.,"Используйте напоминания как триггеры, которые подталкивают к выполнению нужной привычки."
buildHabitProgress100,,"These answers fuel your motivation, help lower stress, stay focused, free up time and increase chances to succeed.","Ответы на эти вопросы - настоящее топливо для вашей мотивации. А еще они помогают снизить стресс, повысить концентрацию и в целом повышают ваши шансы на успех."
breakHabitProgress0,,Replace a habit you want to break with something healthy. Use the urge for a bad habit as a trigger to develop a good one.,"Замените привычку, от которой хотите избавиться, на что-то полезное. Этот трюк поможет использовать позыв к негативной привычке как триггер к хорошей."
breakHabitProgress25,,"Create context for your habit - specify time, place, and routine.","Задайте понятный контекст привычке - определите время, место и рутину ее выполнения."
breakHabitProgress50,,Use reminders as cues that initiate the behavior and set other details.,"Используйте напоминания как триггеры, которые подталкивают к выполнению нужной привычки."
breakHabitProgress100,,Be mindful and aware about your addiction. Notice the urge - get curious - find the root - feel the joy of letting go - repeat.,"Включайте осознанность и отмечайте позыв к плохой привычке - проявляйте любопытство, чтобы понять его причину - почувствуйте радость от того, что можете в этот раз отпустить зависимость."
goalDescriptionHint,,"Add description, details and motivation. Why is this goal important to you?",Распишите вашу мотивацию и описание цели. Почему она важна для вас?
taskNoteHint,,Jot down details or motivation to complete the task.,"Распишите детали задачи и вашу мотивацию.  Почему вам важно это сделать? Если это большая задача, разбейте ее на подзадачи."
buildHabitDescriptionHint,,"How will this habit bring value to your life? Write your motivation and add details. What are the exact actions you plan? E.g., for morning exercise, you can jot down 1m plank, 30 push-ups, 30 squats and so on.","Какую ценность эта привычка привнесет в вашу жизнь? В чем ваша мотивация? Какие точные действия вам нужно выполнять? Например, для утренней зарядки вы можете расписать план - 1 мин планки, 30 отжиманий, 30 приседаний и так далее."
buildHabitLocationHint,,"Think in detail where will you do this habit - your bedroom, kitchen, office or elsewhere. The more detailed plan you have, the clearer and easier it becomes for your brain to support a new action.","Продумайте в деталях где вы будете выполнять эту привычку - в спальне, на кухне, в ванной, офисе или где-то еще. Чем четче вы спланируете все, тем легче вашему мозгу будет поддержать новую привычку и дать мотивацию на ее выполнение."
breakHabitDescriptionHint,,"Jot down the reasons why is it important to quit this negative habit. How does it damage your health, family, self-esteem or quality of life?","Запишите причины, почему вам важно избавиться от плохой привычки. Какой урон она наносит здоровью, семье, самооценке или качеству жизни?"
breakHabitBreakTheSpellHint,,"Go ahead and do what you have urge to, but this time be curious about the process. Move from knowledge to the feeling that you experience. Write it down. E.g. mindful smoking can show you that it's a stinky process.","Поддайтесь порыву и сделайте плохую привычку. Но в этот раз с любопытством последите за процессом и собой. Почувствуйте, что вы проживаете. Запишите свои эмоции и мысли. Например, осознанное курение может пролить свет на то, какое неприятное послевкусие или плохой запах оставляет сигарета"
habitsTodoTip,,"    In this tab, you can track all your habits. Tap on a habit to see its details and progress. You can mark habits done and undo them by pressing the circle icons. When you mark a habit completed, your streak goes up. Use reminders and triggers so you won't miss a day.
    Swipe a habit to the right in the ""My day"" tab to mark it done only for that day. If you swipe it to the right in the ""To-do"" tab, it will be accomplished for good. Use this when you feel the habit is on autopilot and you don't need to track it anymore.","    На этой вкладке вы можете отслеживать все свои привычки. Нажмите на привычку, чтобы увидеть ее детали и свой прогресс. Нажимайте на кружки, чтобы отмечать или отменять выполнение привычки. Каждый день, когда вы выполняете привычку, цепочка действий удлиняется. Используйте напоминания и триггеры, чтобы не пропустить ни одного дня. 
 Смахните привычку вправо на вкладке ""Мой день "", чтобы отметить ее выполненной только для этого дня. Если вы хотите отметить привычку как выполненную навсегда, смахните вправо на вкладке ""To-do "". Воспользуйтесь этой функцией, когда чувствуете, что привычка находится на автопилоте, и вам больше не нужно ее отслеживать."
spheresTodoTip,,"    {appName} helps you take a look at the bigger picture of your life. All goals, habits, and tasks are related to a chosen sphere. You don't have to pursue equal balance in all areas, but dedicating your time and energy towards more than just one sphere will make your life more stable, enjoyable, and fulfilling.
    Pay attention to health, family, work, and contribute to your personal growth as well as the greater good. Living a versatile life leads to harmony and well-being.","    {appName} помогает вам взглянуть на широкую картину вашей жизни. Все цели, привычки и задачи относятся к одной из 9 сфер жизни. Вам не нужно добиваться равного баланса во всех областях, но стоит посвящать свое время и энергию не только одной сфере, например, как это часто бывает, работе. Это сделает вашу жизнь более стабильной, приятной и насыщенной. 
 Уделяйте внимание здоровью, семье, работе и личному росту, а также не забывайте вносить свой вклад в общество или окружающую среду.  Разносторонняя жизнь - залог гармонии и благополучия. "
buildHabitTip,,"    The habit builder is based on cutting edge research in cognitive science. The more fields you fill in, the easier it will be to stick to new behavior.
    We suggest that you use a habit loop to build desired routines. The habit loop has 3 steps - cue (trigger), routine, and reward. So find the right trigger for your new habit, describe the routine including mindset and challenges, and determine the ideal reinforcement... and this time you'll nail it!","    Конструктор привычек в {appName} основан на исследованиях в области поведенческой психологии. Чем больше полей вы заполните, тем легче будет придерживаться нового поведения. 
 Мы предлагаем вам использовать метод петли привычек. Петля привычки состоит из 3 этапов - триггер (сигнал), действие и вознаграждение. Найдите правильный триггер для своей новой привычки, продумайте рутину и заранее решите, как вы будете справляться со сложностями (например, заменять бег в парке на домашнюю тренировку в сильный дождь).  Не забывайте о награде - вашем позитивном подкреплении нового поведения ... и в этот раз вы приручите привычку!"
breakHabitTip,,"    The decision to change a behavior takes place in the prefrontal cortex, the area of planning. But the automatic behavior of the habit itself is stored in another area - the basal ganglia. That is why the habit-breaking process can be difficult.
    You will need to give your brain some time to adjust. The most effective way to break a bad habit is to replace it with a good one. As you see rewards gradually begin to accumulate from the new, good habit — the desire to continue this behavior will outweigh the desire to pursue the old habit.","    Решение об изменении поведения принимается в префронтальной коре головного мозга - области планирования. Но автоматическое поведение самой привычки хранится в другой области - базальных ганглиях. Вот почему процесс избавления от привычки часто настолько сложным. 
 Вам нужно дать своему мозгу немного времени на то, чтобы приспособиться. Самый эффективный способ избавиться от плохой привычки - заменить ее хорошей. Когда вы увидите, как хорошая привычка меняет вашу жизнь к лучшему, желание продолжать такое поведение станет перевешивать потребность следовать старой вредной привычке."
customGoalTip,,"    Use two great goal-setting frameworks that will move you from dreaming and planning towards reaching your goals:
    • SMART goals (Specific, Measurable, Achievable, Relevant, Time-bound)
    • OKR (Objectives and Key Results)
    Divide big goals into parts and then into tasks and habits. Keep in mind that the better you describe your goal, the clearer it becomes for your brain, which drives your motivation.","    С {appName} вы можете использовать два отличных фреймворка для постановки целей, которые приведут вас от мечтаний и планирования к достижению ваших целей: 
 • Цели по SMART - конкретные, измеримые, достижимые, релевантные и привязанные к срокам 
 • OKR (Objectives & Key Results) - Цели и Ключевые результаты 
 Разделите большие цели на этапы, а затем на задачи и привычки. Помните, что чем точнее вы описываете свою цель, тем яснее она становится для вашего мозга, который будет решать, давать вам мотивацию на ее достижение или нет."
focusTimerTip,,"    This focus timer is based on the Pomodoro technique. It's a simple tool to manage time and avoid distractions.
    1. In the ""My day"" tab choose any tasks you'd like to get done.
    2. Set a 25-min timer or adjust the time to your needs.
    3. Concentrate on the task until the timer rings.
    4. Take a short break and get inspiration from the break tips.
    5. Every 4 pomodoros, take a longer break (15-30 min).","    Фокус-таймер основан на технике Помодора. Это простой эффективный инструмент, который позволяет концентрироваться и избавляться от прокрастинации. 
 1. На вкладке "" Мой день ""выберите любые задачи, которые вы хотите выполнить.
  2. Установите 25-минутный таймер или выберите отрезок времени по своему усмотрению.
 3. Сфокусируйтесь на задаче, пока не зазвонит таймер.
 4. Сделайте небольшой перерыв и воспользуйтесь полезными советами на перерыв.
 5. Каждые 4 помодора делайте более длительный перерыв (15-30 мин)."
myDayHabitsTip,,"    Once we decide to change our lifestyle, we often want to tackle all of our dreams and problems at once. But working on too many habits simultaneously is not an easy task. It's also not productive and might lead you to drop all habits altogether. So start small and let this process be a challenging yet pleasant journey, not a race.","    Как только мы решаем изменить свой образ жизни, часто хотим взяться за все мечты и проблемы сразу. Но работать над слишком многими привычками одновременно - непростая задача. Это также непродуктивно и может привести к тому, что вы вовсе бросите все привычки. Так что начните с малого и пусть этот процесс станет приятным путешествием, а не гонкой."
onboardingSpheresTip,,"    {appName} helps you take a look at the bigger picture of your life. All goals, habits, and tasks are related to a chosen sphere. You don't have to pursue equal balance in all areas, but dedicating your time and energy towards more than just one sphere will make your life more stable, enjoyable, and fulfilling.
    Pay attention to health, family, work, and contribute to your personal growth as well as the greater good. Living a versatile life leads to harmony and well-being.","    {appName} помогает вам взглянуть на широкую картину вашей жизни. Все цели, привычки и задачи относятся к одной из 9 сфер жизни. Вам не нужно добиваться равного баланса во всех областях, но стоит посвящать свое время и энергию не только одной сфере, например, как это часто бывает, работе. Это сделает вашу жизнь более стабильной, приятной и насыщенной. 
 Уделяйте внимание здоровью, семье, работе и личному росту, а также не забывайте вносить свой вклад в общество или окружающую среду.  Разносторонняя жизнь - залог гармонии и благополучия."
onboardingGoalsTip,,"    Setting goals and achieving them is the set of cognitive skills that can be practiced. SMART goals help people define and implement intentions in any sphere - health, business, or education. The SMART criteria incorporate guidance and realistic direction in goal setting, which increases motivation and leads to better lasting results. For example, simply wanting to get in shape is too vague. Aim to fit it to the SMART criteria and make a more clear objective like take a walk for 30 min 5 times per week, for a month.","    Постановка целей и их достижение - это набор когнитивных навыков, которые можно тренировать. Цели по SMART помогают ставить и реализовывать планы в любой сфере - здоровье, работе, учебе и так далее. Они помогают реалистично подойти к вопросу и приводят к более устойчивым результатам. Например, просто желание заниматься физической активностью - слишком расплывчато. Стремитесь подогнать его под критерии SMART и поставьте более четкую цель, например, гулять по 30 минут 5 раз в неделю в течение месяца."
onboardingHabitsTip,,"    Habits are filling up about 45% of our daily activities - almost half of our lives we run on autopilot! Whether your goal is to develop a good habit or break a bad one, it takes some time for your brain to build new neural connections. Brain science suggests tying new habits to triggers, actions that you are already used to. For example, you can meditate every morning right after brushing your teeth. It will strengthen the neural pathways and with every repetition, your brain will require less effort to perform the right behavior.","    Привычки заполняют около 45% нашей повседневной деятельности - почти половину жизни мы проводим на автопилоте! Независимо от того, хотите ли вы выработать хорошую привычку или избавиться от плохой, вашему мозгу нужно время, чтобы создавать новые нейронные связи. Наука о мозге предлагает привязать новые привычки к триггерами - действиями, к которым вы уже привыкли. Например, вы можете медитировать каждое утро сразу после чистки зубов. Это укрепит нейронные пути, и с каждым повторением вашему мозгу будет требоваться меньше усилий для правильного поведения."
onboardingMindfulnessTip,,"    Regular practice lowers your stress, helps build good relationships, improves focus and sleep, and even physical health. Harvard study shows that taking a few minutes to focus your mind each day can reduce pain, depression, and more.
    The beauty and simplicity of meditation are that you don't need any equipment. Built-in mindfulness tools will help you make it a daily habit and you’ll notice the first changes in your mood, productivity, and stress level within just a couple of weeks of regular practice.","    Регулярная практика снижает уровень стресса, помогает строить хорошие отношения, улучшает концентрацию, сон и даже физическое здоровье. Исследование Гарварда показывает, что если вы ежедневно тратите несколько минут на то, чтобы сосредоточить свой ум на уменьшении боли, то она утихает.  
 Красота и простота медитации в том, что вам не нужно никакого оборудования. Встроенные инструменты осознанности помогут вам сделать медитацию повседневной привычкой, и вы увидите заметные изменения в своем настроении, продуктивности и уровне стресса всего за несколько недель регулярной практики."
